lines	n	af1	af2	beta3	pmin	p80	pmax
1000	1000	0.01	0.01	0.1	0.03398364	1	1
1000	1000	0.01	0.01	0.2	0.03698108	1	1
1000	1000	0.01	0.01	0.5	0.02068697	1	1
1000	1000	0.01	0.01	1.0	0.01492059	1	1
1000	1000	0.01	0.01	2.0	0.00069071	1	1
1000	1000	0.01	0.01	5.0	0.001957197	1	1
1000	1000	0.05	0.01	0.1	0.00637554	1	1
1000	1000	0.05	0.01	0.2	0.00968927	1	1
1000	1000	0.05	0.01	0.5	0.007174795	1	1
1000	1000	0.05	0.01	1.0	0.001153599	1	1
1000	1000	0.05	0.01	2.0	0.0004428916	0.4333775	1
1000	1000	0.05	0.01	5.0	6.187769e-06	0.05971327	1
1000	1000	0.05	0.05	0.1	0.0002825952	0.7807637	1
1000	1000	0.05	0.05	0.2	0.0005555736	0.790009	1
1000	1000	0.05	0.05	0.5	0.000640651	0.7191286	1
1000	1000	0.05	0.05	1.0	4.531431e-06	0.4870085	0.9993089
1000	1000	0.05	0.05	2.0	3.206039e-08	0.0207631	0.7799496
1000	1000	0.05	0.05	5.0	2.49105e-13	2.136905e-06	0.00149114
1000	1000	0.1	0.01	0.1	0.007553286	0.9225734	1
1000	1000	0.1	0.01	0.2	0.008206799	0.8719061	1
1000	1000	0.1	0.01	0.5	0.0006724163	0.8093474	1
1000	1000	0.1	0.01	1.0	0.0002116519	0.6112801	1
1000	1000	0.1	0.01	2.0	6.594136e-05	0.2248944	1
1000	1000	0.1	0.01	5.0	7.226031e-09	0.008400617	0.486597
1000	1000	0.1	0.05	0.1	0.0003256187	0.7916338	0.9990022
1000	1000	0.1	0.05	0.2	3.729175e-05	0.7759865	0.9997223
1000	1000	0.1	0.05	0.5	2.267838e-05	0.688908	0.9993121
1000	1000	0.1	0.05	1.0	5.307035e-07	0.1564781	0.9977854
1000	1000	0.1	0.05	2.0	1.639499e-11	0.0004679108	0.2161588
1000	1000	0.1	0.05	5.0	1.566348e-20	1.062859e-10	1.89743e-06
1000	1000	0.1	0.1	0.1	0.0008522161	0.7821815	0.9988512
1000	1000	0.1	0.1	0.2	0.0001902996	0.7629326	0.9975103
1000	1000	0.1	0.1	0.5	1.57304e-06	0.4883282	0.997537
1000	1000	0.1	0.1	1.0	1.014634e-09	0.02008098	0.7024414
1000	1000	0.1	0.1	2.0	2.770808e-17	3.797641e-07	0.007151144
