	AA	AR	AN	AD	AC	AE	AQ	AG	AH	AI	AL	AK	AM	AF	AP	AS	AT	AW	AY	AV	RA	RR	RN	RD	RC	RE	RQ	RG	RH	RI	RL	RK	RM	RF	RP	RS	RT	RW	RY	RV	NA	NR	NN	ND	NC	NE	NQ	NG	NH	NI	NL	NK	NM	NF	NP	NS	NT	NW	NY	NV	DA	DR	DN	DD	DC	DE	DQ	DG	DH	DI	DL	DK	DM	DF	DP	DS	DT	DW	DY	DV	CA	CR	CN	CD	CC	CE	CQ	CG	CH	CI	CL	CK	CM	CF	CP	CS	CT	CW	CY	CV	EA	ER	EN	ED	EC	EE	EQ	EG	EH	EI	EL	EK	EM	EF	EP	ES	ET	EW	EY	EV	QA	QR	QN	QD	QC	QE	QQ	QG	QH	QI	QL	QK	QM	QF	QP	QS	QT	QW	QY	QV	GA	GR	GN	GD	GC	GE	GQ	GG	GH	GI	GL	GK	GM	GF	GP	GS	GT	GW	GY	GV	HA	HR	HN	HD	HC	HE	HQ	HG	HH	HI	HL	HK	HM	HF	HP	HS	HT	HW	HY	HV	IA	IR	IN	ID	IC	IE	IQ	IG	IH	II	IL	IK	IM	IF	IP	IS	IT	IW	IY	IV	LA	LR	LN	LD	LC	LE	LQ	LG	LH	LI	LL	LK	LM	LF	LP	LS	LT	LW	LY	LV	KA	KR	KN	KD	KC	KE	KQ	KG	KH	KI	KL	KK	KM	KF	KP	KS	KT	KW	KY	KV	MA	MR	MN	MD	MC	ME	MQ	MG	MH	MI	ML	MK	MM	MF	MP	MS	MT	MW	MY	MV	FA	FR	FN	FD	FC	FE	FQ	FG	FH	FI	FL	FK	FM	FF	FP	FS	FT	FW	FY	FV	PA	PR	PN	PD	PC	PE	PQ	PG	PH	PI	PL	PK	PM	PF	PP	PS	PT	PW	PY	PV	SA	SR	SN	SD	SC	SE	SQ	SG	SH	SI	SL	SK	SM	SF	SP	SS	ST	SW	SY	SV	TA	TR	TN	TD	TC	TE	TQ	TG	TH	TI	TL	TK	TM	TF	TP	TS	TT	TW	TY	TV	WA	WR	WN	WD	WC	WE	WQ	WG	WH	WI	WL	WK	WM	WF	WP	WS	WT	WW	WY	WV	YA	YR	YN	YD	YC	YE	YQ	YG	YH	YI	YL	YK	YM	YF	YP	YS	YT	YW	YY	YV	VA	VR	VN	VD	VC	VE	VQ	VG	VH	VI	VL	VK	VM	VF	VP	VS	VT	VW	VY	VV
AA	4293944	17515	11681	22639	10446	34263	7735	207453	6317	31646	30825	70091	10822	8389	33685	406599	257967	333	2614	243729	4775	486	241	707	118	5143	726	2268	470	38	931	268	2959	59	415	4328	1511	0	53	990	5626	209	193	260	99	15270	1244	248	532	631	1009	283	1313	55	302	2855	2605	4	1	1776	6014	490	153	651	39	274	26	1053	8	12082	775	779	442	57	423	10827	3564	7	46	5667	3129	16	66	71	79	32	78	101	0	61	377	2	2	0	3028	721	13892	0	20	1227	6855	1055	317	789	16	1388	316	1102	49	513	964	6957	886	448	630	3535	4467	0	1470	4158	1827	110	59	113	112	787	147	160	47	469	206	253	101	54	2649	1399	953	18	1305	526	37107	146	1638	816	187	2248	103	2324	205	4978	788	1346	2619	212	2592	14389	16243	0	35	6610	1189	97	36	156	16	857	116	498	26	87	1729	2463	89	21	85	1311	631	2	24	187	13102	47	170	42	1724	116	11	440	32	155	805	113	92	3	852	2654	10798	0	185	6842	8279	185	51	23	694	704	117	8698	34	214	787	163	98	28	417	2104	1660	3	15	4499	6054	125	160	343	20	564	139	546	127	68	380	146	141	56	632	1576	558	0	211	1064	3310	62	16	59	1661	81	32	110	62	352	155	55	133	21	593	890	399	0	12	3948	2651	16	133	2	990	8	5	215	7	16	18	24	2	8	47	1472	162	18	10	283	12341	150	63	51	51	179	59	2387	31	63	526	121	36	73	1636	2770	2661	38	47	719	150556	402	1181	1765	354	1466	305	3363	363	721	1591	1305	630	181	3939	35557	20741	16	144	15674	70848	297	821	596	297	535	187	1679	634	5734	748	326	355	302	1435	9643	17221	12	240	11798	1081	0	1	22	0	44	30	10	5	0	0	12	0	1	0	5	9	0	0	9	1568	56	21	36	0	19	120	642	0	14	59	178	0	2	67	260	321	0	25	227	63923	892	160	187	424	692	299	9738	101	1066	1081	1249	108	123	545	4463	5064	10	271	14963
AR	17515	16448546	33872	10492	55920	38820	281291	105135	114376	69776	61279	998233	14973	5256	23528	77729	40889	19589	14309	20428	360	39593	199	247	342	2159	6107	1995	1292	206	1008	2367	33	624	453	476	143	462	31	80	185	42433	630	333	113	234	2500	511	608	127	688	4842	57	84	922	1037	774	11	394	151	211	52508	468	15	190	229	2318	1779	2843	58	572	14069	45	496	128	1322	293	1116	149	27	2	14035	513	114	311	4667	1533	1436	44	216	1787	3668	20	541	88	152	138	0	44	0	238	78414	412	326	104	630	3129	2010	8879	74	3308	19642	563	240	220	1732	1285	256	602	903	337	88592	99	146	248	1898	6594	262	2984	305	343	9736	310	3522	251	806	1246	913	126	449	185	173802	1128	120	451	435	3344	1867	10321	920	507	15218	1344	44	439	1170	2388	207	1991	240	16	3307	37	36	9	129	327	27	356	4	194	1671	14	65	21	70	120	15	29	105	156	35569	137	321	0	636	100	145	356	15	376	3093	158	79	46	1091	258	389	26	226	67	24229	185	76	223	12211	1969	106	1717	43	229	6535	32	1	66	373	949	229	390	94	344	16917	208	958	138	1563	2503	623	323	112	356	10989	91	44	140	476	945	820	444	201	0	19543	40	133	292	18	372	107	438	66	15	1714	95	8	188	260	72	65	588	239	0	7200	11	44	81	15	172	25	416	86	28	109	3	0	0	30	17	40	10	2767	592	391798	266	54	1758	999	4877	938	573	12	437	32634	20	0	316	841	1305	268	58	178	973	577248	1801	1225	2899	1405	12834	8149	4788	550	1824	47619	1350	154	1058	4221	4207	418	1960	2071	1219	284295	1478	247	3059	1123	16099	2867	7196	110	6609	29527	3155	588	492	2627	3108	617	537	1028	2	5	0	3	24	13	4	3	52	0	6	17	0	0	0	0	0	0	0	0	0	12869	121	21	40	10	48	266	303	9	26	234	1	15	23	108	60	4	147	1	838	212544	1518	201	1887	403	7398	934	4283	573	3720	54506	1320	3158	285	2875	1450	682	377	2211
AN	11681	33872	8314476	129525	6747	38827	22921	34676	111519	12595	6908	75314	11471	4173	4891	265307	73872	486	8648	7465	282	209	15727	3181	22	458	79	446	385	89	18	217	39	1841	3	1103	187	48	502	25	200	468	25088	1875	23	168	669	241	636	201	238	579	21	369	160	1357	519	0	585	35	129	3508	8963	3071	33	342	1121	429	4314	240	42	3766	1	139	17	6148	2330	38	578	468	6	160	8260	923	4	118	14	196	191	9	34	64	0	2	0	414	46	0	69	5	1365	858	100896	1374	588	1369	282	212	702	297	1475	10243	213	569	2	1036	947	3	250	910	242	63	14100	8608	300	210	674	275	425	240	92	603	0	58	4	1947	6696	0	390	92	527	112	161099	7521	85	1961	1292	338	1100	391	123	870	78	196	221	6767	1409	3	245	295	161	136	1540	3491	150	271	70	972	447	2	48	106	0	2	0	58	92	0	21	9	29	384	16742	276	0	128	27	42	162	22	69	438	12	0	2758	484	778	0	25	79	22	187	4678	436	3	175	98	27	230	20	23	897	30	0	592	630	67	2	145	103	155	54	8378	889	2	249	55	75	93	172	101	150	34	66	24	1814	330	2	76	140	2	30	3567	15	2	1	7	33	31	0	0	85	21	2	6	112	35	0	1	216	0	22	1880	2152	4	14	8	4	9	17	2	71	0	148	6	148	20	0	2	1	188	345	79938	9124	45	179	599	2388	721	15	40	73	24	19	22	3571	701	0	50	7	631	1520	239466	23331	314	664	585	231	1798	1188	351	1712	137	92	545	23809	10932	10	999	494	472	796	106611	23036	58	605	1523	940	1180	724	278	2992	75	67	123	3796	5670	1	1158	772	4	5	316	64	0	11	2	49	6	0	1	10	0	1	7	6	6	0	46	2	18	44	246	280	0	63	12	0	57	6	5	22	0	8	0	29	21	0	4	7	2334	1339	157462	6698	101	828	238	649	4876	424	33	4351	50	447	551	2871	1404	7	509	808
AD	22639	10492	129525	7897399	638	600823	56241	17941	25854	9113	1103	16316	162	1142	1913	13426	6915	26	5003	6310	394	126	1041	65132	2	6609	131	1384	144	9	8	117	9	264	18	689	77	2	52	28	285	74	6629	34161	2	865	435	127	64	41	12	391	2	38	20	300	70	8	44	454	1054	101	274	27911	206	1784	469	148	924	62	51	435	10	54	70	906	172	0	5	24	0	9	23	80556	0	1180	1	53	0	0	48	29	0	0	0	16	30	0	99	13	106	217	2360	74080	32	2140	468	1197	1967	20	60	5349	6	112	285	611	139	0	7	43	288	116	287	17541	1	661	192	84	145	16	33	253	15	12	82	170	477	0	1	113	459	73	2146	145593	46	5408	82	282	314	378	59	241	8	52	22	594	444	1	3	252	197	1	20	2566	0	700	23	2143	143	2	18	12	0	14	8	109	18	0	12	39	230	10	500	5160	0	583	106	23	3	3	0	38	0	0	7	411	70	0	16	5	31	46	922	18536	6	1831	1032	234	195	4	1	222	0	0	0	616	122	2	171	7	77	96	1087	17608	0	2240	65	169	121	4	75	641	1	32	28	253	379	0	11	61	262	1	110	5836	92	420	65	14	83	0	0	25	6	0	1	40	4	0	10	10	0	1	1001	2465	0	181	14	37	240	4	1	32	0	0	0	306	49	0	39	40	194	75	3761	16015	56	3283	1450	2772	2771	0	5	78	3	2	3	285	318	0	138	11	2545	33	5260	398881	69	7234	1261	1227	334	43	11	985	29	261	19	563	1663	0	904	1307	619	301	3170	160122	17	6783	155	908	1186	104	37	764	37	2	16	687	467	0	489	623	0	1	1	1068	0	222	16	337	0	1	0	0	0	0	0	2	0	0	0	0	11	55	6	970	0	1120	86	146	89	6	24	41	0	0	20	72	16	0	4	7	382	366	3462	136156	21	7321	118	343	467	24	5	1308	7	0	146	590	162	0	262	252
AC	10446	55920	6747	638	2454190	1228	3646	7393	26282	5947	27651	3664	1015	87522	1003	86199	8087	3890	42863	30379	1	204	3	1186	7444	280	8	24155	41	10	6	1	0	136	0	700	21	6	8795	15	283	500	2	3	6106	29	287	1	16	4	91	19	0	34	10	310	6	9	50	59	5	216	2	3	7172	3	0	311	3379	1	75	63	0	25	6	1022	8	56	4150	25	26	20	81	12	27427	3	6	75	87	20	45263	48	0	52	2	142	301	116	94	112	56	252	425	12	8391	1	23	25	274	34	16	104	9	26	52	1986	96	465	492	105	40	10	18	53	1865	0	0	561	190	17	39	8	0	14	12	206	123	63	70	16	620	414	22	5	45817	30	11	1145	192	20	67	65	0	2577	559	1270	304	63	1712	102	9	12	10	305	1041	1	3	282	15	10	231	0	0	19	0	288	22	67	18	32	50	30	10	14	905	20	16	68	15	14	228	0	1	177	39	1054	115	36	93	82	220	15	30	0	839	0	13	471	53	564	6	0	3	42	8	1507	572	139	271	215	70	321	18	286	9186	48	6	8	18	3	0	2	0	12	24	1374	33	0	50	14	35	14	44	4	568	0	0	1	23	6	3	0	0	47	7	79	8	30	32	26	98	4	26	2	966	0	0	0	0	0	0	0	0	0	0	37	24	22	69	0	486	549	22	50	17350	3	50	3	75	14	9	35	12	45	3	253	32	9	923	825	718	2697	328	9	60670	12	927	513	293	267	206	1076	140	544	66	5166	1099	536	851	557	372	458	32	11	46613	4	44	97	430	225	318	54	11	186	28	1113	624	145	907	170	0	2	1	0	246	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	42	39	3	0	1568	1	1	0	0	0	2	2	0	0	6	51	0	0	3	10	392	682	85	500	75468	23	122	604	207	6	1844	266	18	274	326	1327	151	195	520	244
AE	34263	38820	38827	600823	1228	8699170	138418	23836	10481	5010	48244	301625	7430	1174	7375	16259	27524	1629	289	35504	245	172	1713	27548	20	104821	1548	4696	666	18	230	967	69	36	173	1400	164	5	1158	1492	657	60	296	4519	0	32554	1847	47	284	42	4125	1677	198	16	13	176	558	14	27	86	262	363	778	526	16	24150	1342	982	1112	634	2817	2307	43	1	77	1353	282	4	60	194	3	25	6	504	0	36740	559	99	32	0	0	25	0	0	2	34	64	0	24	3	1224	1374	330	1126	16	37669	9821	1105	770	18	444	7960	472	19	945	3275	1981	7	26	439	456	116	984	7111	1	8277	630	293	141	744	640	2605	147	29	116	278	731	0	18	359	4121	560	1498	10838	17	122089	1960	2913	72	103	96	2436	240	18	33	1448	2093	2	28	2479	76	387	27	6070	0	5136	202	213	504	2	289	3500	75	1	0	172	257	0	157	742	543	35	16	734	9	33845	711	54	638	477	192	584	89	4	595	257	515	0	0	144	134	187	316	3024	24	32070	337	270	23	84	52	756	76	24	93	266	172	2	363	78	266	274	558	14255	6	17596	1323	225	100	93	230	225	20	20	64	484	270	19	21	755	38	23	13	5938	1	13400	3400	71	51	86	33	107	0	0	0	292	41	0	97	13	14	25	2128	16792	0	6808	179	131	0	0	21	43	0	0	1	132	381	0	24	8	383	669	21891	17883	7	28656	9332	262	21	31	562	739	131	0	87	404	2037	0	454	1535	1156	295	8526	20007	5	207266	4667	3135	699	56	942	2389	168	0	79	1276	4113	11	428	2977	592	580	3605	17059	2	197405	1478	657	158	86	475	7195	109	166	1322	603	2190	11	28	976	0	0	0	135	0	203	117	18	0	1	0	0	0	0	0	0	0	0	0	6	163	321	725	345	0	4495	19	243	10	4	132	570	0	0	38	330	125	0	1	8	518	611	589	16957	0	151299	3786	1335	17	224	307	5324	370	0	124	987	792	10	177	815
AQ	7735	281291	22921	56241	3646	138418	6997803	7881	111970	8308	66770	201103	10367	2764	9630	32937	16996	5029	4411	27413	130	1489	304	608	58	7228	18269	242	542	36	1027	365	75	19	2317	170	221	83	21	264	79	618	135	141	119	1602	31294	154	1341	50	2906	893	50	0	171	1119	159	615	83	88	340	4215	273	7	183	978	65128	258	7080	32	1746	6872	37	189	503	994	374	100	19	154	0	268	212	191	2	3096	12760	283	61	0	87	2145	0	0	1	36	32	0	152	83	423	7864	1324	184	70	439	65313	586	5894	118	1163	17005	197	6	506	2410	1321	19	197	137	115	4614	2399	151	71	1179	10895	72	533	12	472	64122	63	12	121	141	749	0	370	47	285	2566	1863	213	62	1086	40166	116	1705	451	450	4005	978	29	484	1026	487	2108	148	926	17	161	43	26	16	539	13523	46	857	5	287	238	5	3	5	986	12	122	7	87	81	219	45	13	7	2477	6608	8	597	1	304	2327	268	2	10	787	171	9	30	88	48	504	126	20	219	1223	14929	6	1520	18	169	1943	183	176	3	33	325	13	449	19	349	365	282	220	227	1454	8443	277	158	66	368	1697	46	30	161	254	186	14	55	61	285	139	12	11	196	133	6590	13	298	7	474	135	1	1	5	333	175	4	0	9	2	73	102	589	0	6	3635	5	119	0	74	145	4	0	8	7	1	1	14	39	149	7415	1272	337	1590	1779	72249	55	489	27	2509	10636	24	6	238	2590	17153	161	126	3968	270	8414	8090	878	180	10104	265325	1681	2141	54	2407	9001	1361	32	405	7175	2625	296	3023	1672	31	4277	762	1182	200	2551	161367	407	4964	79	3508	4706	371	1197	221	507	933	139	194	919	0	2	0	0	0	51	1	7	2	0	10	24	0	2	5	12	9	0	0	0	9	69	2	0	0	108	380	20	4	2	44	29	7	7	0	66	2	2	122	4	370	5079	1659	212	173	3520	117258	381	5856	407	2096	10801	537	209	936	1660	2729	36	852	1115
AG	207453	105135	34676	17941	7393	23836	7881	6862507	3415	1290	1559	12344	514	690	2723	82813	8350	2966	996	16828	269	668	2601	3031	3297	2149	253	30009	1710	25	130	1173	7	0	19	944	63	3	421	152	587	386	312	773	264	365	763	17778	174	48	37	3635	319	8	279	1183	379	46	32	314	509	1569	755	132	48	485	698	56984	741	53	230	3202	9	13	189	1037	2543	93	95	1509	30	47	47	13	9	115	4	52286	0	8	0	49	15	7	0	63	0	0	31	18	368	2525	153	338	114	1102	655	44530	571	86	52	2331	7	5	12	3140	623	23	90	301	75	1321	375	179	841	113	1169	17973	354	11	421	451	74	2	30	1193	38	9	21	267	569	962	979	415	96	1458	83	108036	465	235	216	886	337	40	11	1804	2114	39	111	501	21	30	90	138	25	156	133	63813	44	1	32	18	1	2	13	434	93	8	30	3	578	12	37	13	240	142	29	11656	3	520	103	247	22	251	71	1053	160	4	0	640	1531	63	325	83	113	3222	42	11051	24	3	19	2765	2	1	9	1300	211	18	35	749	231	480	98	661	22	1091	206	9695	16	73	15	351	377	68	92	2475	38	36	28	314	142	9	1	68	368	147	9	12546	37	56	4	11	0	2	1	146	12	8	64	14	320	1	38	33	135	52	0	10110	39	40	10	61	0	0	6	118	93	109	18	25	761	3136	144	261	5	603	81	78457	40	41	30	1769	4	5	86	2897	286	16	116	1096	2343	3181	1849	4296	841	1902	694	391200	1259	50	252	3508	26	51	382	6565	2855	1561	379	637	2852	1375	961	1544	281	738	537	146406	72	45	53	213	103	82	14	5245	420	524	44	1280	10	4	15	22	2	4	0	318	0	5	1	4	41	0	5	13	5	0	0	12	881	6	4	156	0	74	34	11168	93	0	0	1	0	0	383	87	21	2	0	0	3879	3750	2267	895	1704	917	195	181530	22	114	92	1262	84	46	67	2000	201	108	12	5726
AH	6317	114376	111519	25854	26282	10481	111970	3415	5438755	4179	80742	32786	956	24513	9783	64605	24661	1690	113726	9699	50	1003	112	564	294	1374	2863	15	8206	22	1093	31	41	163	111	77	75	8	830	1209	84	400	286	178	36	536	2531	68	13385	23	110	297	8	1251	104	239	97	29	1984	44	56	1359	830	21	35	130	988	87	111113	49	456	423	66	694	249	740	309	16	10115	40	2	449	349	93	231	109	1799	94	38728	110	3581	58	56	0	0	182	1	5	418	31	62	2644	830	2069	188	286	6188	170	95496	27	1186	1553	28	616	523	388	288	18	6011	49	50	669	330	50	251	79	2573	53	11739	0	98	7430	2	53	146	236	863	4	1922	35	857	1838	1644	165	88	282	9627	80	154395	269	181	538	27	570	191	1010	722	428	6904	3839	21	1026	96	103	16	173	940	40	10753	0	260	665	1	1	3	4	17	4	398	2	301	365	583	49	3	874	374	7	12522	876	623	235	0	85	21	616	226	25	1132	178	135	924	434	155	381	253	656	98	11773	28	603	276	12	742	97	5189	2	0	1131	33	25	242	269	169	350	96	623	74	4721	44	221	92	63	191	96	94	83	134	1140	31	22	739	60	22	27	84	44	99	15178	16	10	3	0	32	35	937	2	5	177	5	116	271	2	7	1	7	20	5	2685	36	64	13	0	204	105	99	90	15	2837	0	418	1629	1329	11	124	10	760	6	28596	9	329	343	0	306	14	1582	5	0	5032	1	422	4924	8588	230	1948	180	3352	102	98783	68	1484	826	99	524	1131	1597	489	199	11873	1172	2896	3634	1429	587	531	210	5656	90	107153	297	1394	1356	128	880	1803	1243	779	63	7030	9536	0	28	0	7	24	12	4	14	200	0	0	1	0	0	0	4	9	11	4	0	40	969	47	0	36	21	1	21	375	4	41	150	0	12	1	26	3	5	180	30	56	2589	3773	218	355	602	2561	275	145925	562	1593	1253	34	963	182	2311	1076	127	6741	3394
AI	31646	69776	12595	9113	5947	5010	8308	1290	4179	12047009	929324	13781	174413	67429	1047	27335	158969	166	1043	2227284	77	94	151	1	9	89	187	6	34	10771	1437	65	144	2291	49	325	254	0	68	4173	314	4	1140	921	3	0	166	6	57	20327	664	157	940	113	0	84	380	0	387	3981	187	12	217	26	42	31	98	4	58	28906	1495	3008	378	556	18	263	1241	0	366	4735	69	0	5	0	0	57	140	7	2	19314	9113	75	483	711	24	8	536	0	144	8126	422	1114	644	6	18	53	155	139	170	21513	5909	5622	549	2220	291	635	5315	221	143	7787	40	7	38	17	3	4	59	59	76	7297	946	166	194	42	5	207	353	0	11	3107	1056	161	65	62	3	28	143	22	22	118281	9376	98	7700	1404	343	227	3263	4	13	34473	286	0	30	32	10	6	1	2	1	4969	494	7	20	112	3	34	67	0	4	794	58	40	45	20	81	0	70	272	10	26554	4204	40	1524	657	14	715	1643	0	314	8999	167	85	62	0	30	28	28	2	16	6762	4775	71	1178	88	80	54	1205	0	32	5659	702	0	11	30	4	8	761	51	5	9282	645	818	145	817	2	1360	380	1	84	3615	9	200	0	2	4	0	2	9	9	3206	820	45	100	369	0	935	239	0	40	4035	191	115	37	22	1	2	0	0	0	3621	1385	13	122	51	5	25	341	0	0	1330	267	158	10	55	0	40	58	14	18	11263	826	1093	656	366	25	420	2827	0	48	4569	1380	173	564	92	6	100	925	199	417	124666	12845	275	1944	814	24	9670	10554	68	89	76575	1080	188	124	62	226	54	351	114	157	143480	7178	457	3935	1717	32	1113	9617	0	92	53754	24	1	0	0	0	0	0	0	0	2651	675	0	7	0	0	12	9	0	0	1168	0	31	0	0	1	22	56	8	0	3354	333	2	95	0	0	8	70	0	4	562	1710	885	347	57	55	95	536	116	30	224150	19457	515	8377	2389	14	922	3376	1	36	90130
