SUPT4H1 	HTATIP2
CAMTA1 	PMVK
MYH7 	HAO1
FSHR 	BRIP1
CST7 	FGF23
PVRL4 	ACSS1
VWF 	ATAD2B
ITGB1BP1 	ANGPT2
AOC3 	RAE1
TOP2A 	TAF1L
FSCN1 	LARP4B
AHCYL1 	UBQLN3
EYA2 	FLCN
GSTA4 	ZBTB32
EED 	MOCS2
GSTO2 	HSD17B8
PHF2 	MUT
CLEC9A 	PTPN2
PCNA 	PIM2
STARD3 	PRDX2
NGLY1 	PPFIA2
ACTN1 	PEA15
KDM8 	BTF3
RPRD1B 	EIF2B5
RAB43 	S100A4
PTGIS 	PPIH
NONO 	PIP4K2A
IDH2 	CLIC1
HSD17B4 	DTX3L
TP63 	KLRD1
KIF1A 	AURKA
ANK1 	TXNL4A
RILP 	S100P
IDUA 	APTX
PANK1 	TKT
CHD1 	ANP32A
SMAD4 	FANCF
HBEGF 	CBX4
CALR 	AGFG1
ARFGEF1 	SCO1
BTF3 	MSL3
RPA1 	BLVRB
MELK 	CRYL1
WRNIP1 	CDC7
HLTF 	RAB18
ANK1 	GOT1
MMAA 	UBE2L3
PXN 	GLOD4
CSAD 	SNRNP200
C19orf40 	LIMK1
GALNT2 	ARHGAP15
RAP1GAP 	NISCH
TBC1D22A 	PLCG1
NR5A1 	UBE2E1
DBF4 	GIMAP4
RALGDS 	B4GALT7
JAG1 	NR5A1
ARID3A 	HSPA8
DCUN1D3 	MTMR2
EIF4G1 	KANK2
SDSL 	TIRAP
AHCYL1 	NFATC2
NFRKB 	AGER
GALM 	GMDS
SFTPC 	UBC
MMP16 	MAP1LC3C
RHOD 	APAF1
ABCB6 	CAPS
TRPV4 	SEPSECS
EIF4A3 	SEC24A
MKNK1 	ITCH
FGD5 	RECQL
CARHSP1 	CDC26
CD38 	ZHX2
CDK5 	GFRA3
PYGO1 	SMN1
SHFM1 	SSH2
RAB26 	SATB1
DDX10 	RORA
SSB 	RAF1
SETD2 	DDX20
BBOX1 	DIRAS1
SERPINE1 	GLTP
LRRK2 	INCENP
KANK2 	CBLC
RAD9A 	PIWIL2
TDG 	TAF13
KCNJ4 	ATOX1
SEPT2 	LHPP
PSMG3 	GMPR2
DSP 	NDOR1
BROX 	PPIH
ORC6 	DCAF12
RAB11FIP3 	UPP1
CHI3L2 	LMO2
PDGFRB 	GTF2A1
PDLIM4 	PTGR2
CTDP1 	PIAS2
IQGAP3 	ING1
RNASET2 	EIF4E
ENY2 	STIM1
FBXL5 	HBA1
SHFM1 	SENP7
XPO1 	CAMTA1
PPARG 	TBK1
GALM 	AQP5
KAT2B 	C11orf54
DYNLRB1 	RAB5A
TYMP 	CSK
FGFR1OP 	TATDN1
CDA 	BROX
NR2C2 	CLTC
HAAO 	PMM2
IL20RB 	GSTA4
GRIP1 	WRNIP1
HARS 	SLAMF1
FDPS 	OTUB1
KIF3B 	GORASP2
CD300LF 	SPON1
FASN 	SUFU
ZHX1 	PANK3
HNRNPL 	OS9
NMNAT1 	GCGR
RBKS 	NEK2
PTPRN 	GALNT10
WDTC1 	DLG1
NFKB1 	RNASET2
KIF2C 	SYNJ2BP
BECN1 	EPHA5
LGR4 	UCHL3
NME1 	LCK
NR3C1 	FNTB
SLC9A3R1 	SPEN
CASK 	GPX5
ISG15 	IL20RA
BSG 	NT5E
STARD5 	CD40
MDC1 	KLHL11
ADSL 	CBX1
CSNK1G3 	RAC1
API5 	SUMO3
NCF4 	NSMCE1
WRNIP1 	THTPA
FDFT1 	MASP2
MTAP 	DUSP5
NAGS 	NR0B2
WDR5 	SPEG
ROR2 	VPS16
RHOU 	PTPN1
GADD45G 	RAB3D
LAIR1 	UNG
DCTN1 	DHX9
AIM2 	PPP2R3B
RTN4IP1 	PARP2
HGS 	MAPK12
MAD2L1BP 	CSNK1G1
AUH 	C11orf54
ADAM17 	PTPN9
GUSB 	DYNLL1
VIM 	B3GAT2
MDC1 	NDC80
ABCC1 	KCNH2
CYP2A13 	GLUL
TP63 	SPG7
SULT2B1 	BOC
TK1 	UBA5
CHEK2 	ACACB
PDE4A 	GEMIN7
TERF1 	CD40
ABL2 	AIF1
THYN1 	ZHX1
CDC7 	PPP2R4
GIMAP1 	HINT1
TSTA3 	MECP2
OLR1 	BCORL1
MAGEA4 	CYP11A1
COL10A1 	WRNIP1
PTPN14 	NUDT3
BAZ2A 	CA7
DYNLL1 	PIP4K2C
PRDX1 	UGDH
PARD6A 	HRSP12
CPSF7 	ADSS
DCUN1D3 	PARG
NCOR2 	SULT1C2
SPTB 	FANCL
RHOU 	TASP1
HMBS 	PLA2G16
SGTA 	MUTYH
DCC 	KIFC1
G3BP1 	FMN2
F11R 	IL22RA2
ACYP1 	B4GALT1
LIG4 	NUMBL
FSCN1 	HOGA1
KAT8 	GLRX5
