gene1	gene2	llmsa	count
EXOG	EXOG	109.54191773258952	43289
CAPN1	ITGB1BP1	82.6151624971576	61048
ACADSB	CD180	78.34175947622612	193124
CAPN1	MAD2L1	77.65689997926248	62564
DDX58	MMP10	77.44099801682381	240521
CAPN1	KIF3B	76.68374668581617	223904
MYH7	NOG	76.10536742346494	239122
GPD1L	KCNH2	68.97235062901046	133420
AKR1B10	BRCA2	66.17401627460009	705894
CAPN1	KCTD5	63.490701945815175	72292
ARHGEF1	KIF9	63.31120514441099	167714
PAK4	SUN2	63.074398941208074	150730
CES1	TNC	61.993032927439174	341097
SDSL	TIRAP	58.78065131975461	42301
KEAP1	TOP1	58.18894924344869	156333
ISG20	TGS1	57.855540609577474	37512
KDM5A	PLXNB2	57.838126299396606	1425692
NACC1	RARA	57.59470095759342	65896
CTH	PPIL2	56.930635902329215	76156
CTSK	PTPN14	56.47199711231727	221126
CLIC3	TOP2B	55.41753484601185	171479
KEAP1	NAMPT	55.08519124765468	120683
ECT2	VIL1	54.88776986524505	362995
LCMT1	SERPINB1	54.12740991612543	64317
ARHGEF1	DDX25	53.982204174993	85578
CYP1A2	SLC4A1	53.88876829845367	286216
CYP2A13	DSP	53.05551066643213	934348
ANPEP	PARP10	52.942346394257015	113744
KMT2D	VRK2	52.67897447118531	892189
CASP8	ECI2	52.10233886906178	114606
ACE2	ZNF217	51.6819099321624	466439
ISG20	VIL1	50.9306055948997	39499
ARHGEF1	SPAST	50.632903942807815	74416
CAPN9	UGT2B7	50.44286199037583	216972
ATAD2B	VWF	49.931617341662616	1765761
SOS1	UMPS	49.85796887340804	281580
FBN1	PTGES	49.57233114531439	119994
FLNA	NEO1	49.19650026902676	1687648
AKT2	MAP3K10	48.657057589630256	120262
SUV39H1	TASP1	48.35527057770622	59649
GPT2	IL22	47.80608352346269	31953
EIF4A1	GGT1	47.6701114448514	53922
HPGD	XPC	47.198994355850346	125538
MPG	SETD1A	47.11957834996474	186231
RYR3	TYW5	46.95878479149758	524855
ARSB	POLK	46.524128259478516	214610
NR3C1	STX10	46.2189031214013	101424
PTPN23	TSTA3	46.08515140346901	329175
DCX	PTPRM	46.07786054093825	146960
CAPN13	CLCN5	45.77404698969541	48506
CAPN2	STX10	45.63115333847213	88642
SGOL1	TRIM72	45.541832460487626	131990
NTRK1	RGS16	45.480120775221025	66077
CYP1A2	PNP	45.39469053042296	96170
MAP3K9	PPP2R2A	45.027945611739966	118359
DTX3L	HSD17B4	44.801153201110594	240188
INPP5B	ITGB2	44.66415473518276	324426
STK10	ZHX2	44.59627583932959	471169
DDX10	NOD1	44.547151585767836	367129
DHH	MYH9	44.43384482585654	313771
DDX58	PTPRG	44.34037933335924	487343
ACOT4	EIF4G3	44.19673273886042	421938
C3	POLH	44.13858584434024	525528
ACACA	TOP2B	44.09242279904731	895153
L3MBTL3	NDST1	44.08018011396223	228942
SMARCA4	YARS	44.06876265052844	226627
FCHO2	ITSN1	44.03936971769106	512286
LONP1	POLK	44.017112271115025	273624
DCAF4	MMP10	43.5709756270237	124357
CAPN2	NNMT	43.30047318277616	72973
CLIC2	CTDP1	43.25581402693612	67405
CYP1A2	VWF	43.10427397449678	938658
EGFR	MPDZ	43.05417814570643	1249828
PDXP	PHF21A	42.9888895230947	44800
CLK3	GPX3	42.9099382271591	55248
DSP	FABP4	42.8427632977739	275393
BAG5	NOTCH2	42.80703293791487	567144
HBB	ZHX2	42.74189885810728	92139
CLOCK	ITGB7	42.66213011836766	312641
IL22	TPX2	42.624181990839986	45708
MAP3K9	PKP1	42.62377066154667	439603
RABGAP1L	THBS1	42.59594259824752	292628
PARP14	PRKCA	42.558705085171994	440718
NONO	PIP4K2A	42.461030671140875	50496
PRKCH	RUVBL1	42.33028021033108	80125
SULT1C2	TTC5	42.11420440410693	52968
APOA4	CHKB	41.82690891743323	64808
CCS	MET	41.71551862716751	185813
HIP1R	KLC2	41.697140453382815	347521
ACAP1	DUSP18	41.69061737643824	66018
APOBEC2	BRCA1	41.68353719074736	179760
GAPDHS	HIP1R	41.666709397433294	184271
GSTP1	TLR2	41.62927897250364	11249
BRD2	TDG	41.613048113355575	838100
DUSP16	LYPLAL1	41.58062096071046	63522
HDHD1	RANBP2	41.45661556246847	263427
ARHGAP35	TH	41.385631354671375	555570
P4HB	RANBP2	41.346540230456284	920828
HSPB1	IFIT1	41.29102350868504	59044
CDK16	MERTK	41.07726651847305	131326
BAIAP2	KIF1A	41.01024698275643	381670
CHIT1	PLCB2	40.99322494194337	289150
MDM4	PTPRN	40.9238719702812	221915
CDYL2	KIF16B	40.839335258765175	296678
STK4	ZBTB33	40.79226118862579	131699
CSK	DDX47	40.72826647832301	61630
PIWIL1	SULT1A4	40.50028697635497	312264
DKK1	LCK	40.427783095024154	43455
KIF13B	TOP2A	40.31991786655365	834530
GLA	SACS	40.270330656978786	727099
CHKB	TGM2	40.11958701392297	110118
LRRC4	RGS16	40.010463554966066	69737
KDM4E	TAT	39.91818771043643	69775
ACSS1	DLG1	39.704203053951346	191412
ADAM8	SCIN	39.69507358417155	209784
FABP4	FABP9	39.67370028024246	12531
MAGI1	SLC4A1	39.65831178863641	491158
NNMT	NOTCH1	39.651541160747826	260051
FOLR2	MVD	39.6014566967674	61337
PTPRF	TEAD2	39.47971065180457	305243
FAP	MYH9	39.43699685181548	577950
CARHSP1	PLXNA2	39.42328467441955	108093
ESRRA	SACS	39.41917868451509	691017
ROR2	SYMPK	39.40954823048591	446369
CALCRL	MLH1	39.256439583607175	135357
DPP4	PALB2	39.16523927888721	226770
EPHA2	SPSB2	39.15601874188434	145006
MAGI1	MMP2	39.04051008321433	330127
HAO1	MYH7	39.01670694713954	319076
ARID3A	HSPA1L	39.012291188334984	630160
LNX1	RHCG	39.00676332963792	158931
MAN1B1	PALB2	38.93158764037503	166845
CD180	LMNB1	38.86671941328632	306366
GRB7	NFKBIA	38.69630108833823	85548
CLCNKA	RAB11B	38.64340694639674	43415
ARHGAP32	CALCRL	38.624989690896825	414335
EBF1	FLNB	38.609439770026384	312344
ARSB	GSTZ1	38.60869336359741	40721
CD180	SMN2	38.60139879979573	115044
CASP2	ME1	38.54585276744922	90369
GPD1L	IST1	38.49208544960081	36008
DCC	KIFC1	38.43732183989445	615671
CAT	ZFPM1	38.36971050502342	112074
BAZ2A	CA7	38.31711337099517	213222
DHH	HINT1	38.157600756935835	23032
HRSP12	TXNDC5	38.11617099588182	21298
NPC1L1	SNTB2	38.09977082672734	319920
NFRKB	TPX2	38.08065032950918	390894
GINS3	SPAG9	37.96762239246033	83890
COL4A3BP	SCAF8	37.95754808293188	293222
CAPS	MX1	37.924022547484356	58630
HMBOX1	TNK2	37.909662776863115	164354
ADAP1	CTSK	37.90860878184189	75470
IDH2	MX1	37.882819471640175	74188
ECT2	NFASC	37.80683911827515	455747
BRCA2	MEFV	37.77154011251412	860889
NGLY1	SULT1A2	37.72233663304729	108138
PARK7	RAMP2	37.694115621577396	7642
MCEE	PARP12	37.67350394269238	45160
HPN	RNASEL	37.6462512504537	120818
FMN2	NCOR2	37.64159211800131	1358249
GCC2	MSH6	37.63281277371311	1348038
ALOX12	LMNB1	37.5986060581389	213945
ALDH5A1	SULT1A3	37.54237522877469	133068
HBP1	TAB1	37.497396628618304	99427
DLG3	KAT8	37.48708094775904	85652
PAX5	PRSS8	37.47334927652912	47848
NOS2	ZHX1	37.45635373498567	630893
CASP7	MX1	37.390547051387955	73382
KDM7A	SULT1C3	37.33699723577291	100257
SLC4A1	TUB	37.31562597884695	172454
FBXL5	NDST1	37.12734786951543	214508
MAST1	PDIA4	37.10912733808908	377987
NACC1	TAF11	37.00592861358186	17660
GAPDHS	TDRD5	36.98723949415822	61446
DCTN1	NPC1L1	36.952822931542016	766137
ALOX12	DNM3	36.910077349870676	191153
EDC3	FKBP1A	36.891467776526426	14007
ADAM17	HK1	36.84675805503076	301668
ABCC1	KCNH2	36.792968322809344	700035
MGAM	SCMH1	36.73865136244302	483365
GALM	SCML2	36.7099458916702	98642
ARHGEF1	MKNK2	36.69383997605101	95280
ACADVL	BRWD1	36.69314036035723	657950
CHP2	PMS2	36.68085346756072	60634
DCLRE1A	TNFSF13B	36.673390557546156	119682
GRB7	HSPA6	36.67052195705445	232168
ADAM22	MET	36.622296592610155	478864
CNOT6L	WDR92	36.5879482367981	57415
INCENP	LRRK2	36.426300497961364	480772
CNOT6L	PPP5C	36.41802161131547	62988
MTRR	TGFBI	36.37105513555042	274016
ALOX12	WARS	36.329118445987945	128654
COL10A1	TAF1	36.328464957807455	453452
BRIP1	FSHR	36.29478925649204	297858
COL10A1	WRNIP1	36.222102989414964	138152
CCBL1	PRSS8	36.19532692734515	78728
ADA	FABP5	36.17105088358096	27072
ADK	THBS2	36.166839726332284	127645
BACH2	PARP12	36.14125699510771	221300
GIPC2	NCAM2	36.11123472238697	122352
BPGM	PTPRB	36.08724825636932	246138
ATXN2	GINS2	36.07977908250459	68488
IL20RA	SPEN	36.074567324722466	944678
KDR	MTERF	35.96159329735795	317393
LSS	MRI1	35.91055525164177	118650
MPDZ	UHRF2	35.88623355158046	676694
PDZK1	PNP	35.80971433521228	87188
KDM6B	NPM1	35.78627482177137	63223
CYP2A13	PLS3	35.78083242277887	114859
CRHR2	RRM1	35.76824228097908	60854
CAMK1	PIK3R2	35.76536889177986	78458
HK2	SMURF1	35.743427257544525	167419
MATK	PDGFRB	35.70919491857174	284091
ADH4	SKI	35.65373303174255	151194
DAPK3	OBSL1	35.642708727238016	513844
EPHA4	NTRK1	35.56403538428634	223067
IHH	MYH9	35.4909864743031	295938
CNTN1	HBA2	35.461938036915114	101493
RBL1	UPF3B	35.40912463003502	171594
